,age,person,action1
61,54,fish boat captain,spend his days on the ocean with his two sons who work with him The three of them do not interact with anyone outside of their family pod
62,25,gymnastics,teach tutor her team at the local gymnasium The coach keep their mask on the entire time but the team members remove their mask when they hit the floor The build be well ventilate and have plenty of fresh air
63,68,woman with a kidney disorder,go to a nightclub It be crowd and no one be wear a mask
64,63,woman with emphysema,go to a crowd casino No one be wear a mask or socially distance
65,55,schoolteacher,teach a classroom of kindergarteners She wear a mask but the children do not
66,friends,not live together decide to,go for a run They be in their late s They both do not wear mask and often get within feet of each other when pass others on the trail They run around a trail with full sunlight and a constant breeze for hours
67,87,,go to a wine bar for a night cap He do not wear a mask and sit indoors out of the degree weather There be other people in the restaurant without mask eat and drink
68,53,woman with asthma,go to eat ramen with her daughter at a restaurant outside where their table be place feet apart from others
69,20,college student,go to a party with other people No one socially distance but everyone wear a mask
70,52,obese woman with several health issue deliver for Doordash She interact closely with several people who,be not wear a mask but she wear a mask
71,world,be hold indoors at a well ventilate convention center A year old girl compete all attendees be require to wear mask but several hundred people,inhabit the same room
72,28,with asthma,be pick up book be hold for her from the public library She wear a mask and only interact with the librarian who be also wear a mask She wash her hand after return home with her book
73,a,a year old Girl who,have wear a mask go on bowl with ten other people The others be wear a mask Social distance be practice
74,middle,teach online class she only,go to the grocery store once a week to pick up food and wear a mask when she do
75,38,man,go to the laundromat to do his laundry where he encounter five other people not wear mask He be also not wear a mask They linger inside the establishment for hours while do their laundry
76,45,man,go a restaurant to pick up food and wear a mask as do all employees of the restaurant All other patrons also wear mask and socially distance while wait
77,97,man,celebrate his birthday at a nurse home with his close family members They all wear mask and be test before hand
78,33,man with cancer,be visit by a friend who he later learn have COVID with no symptoms The two stay feet apart and wear mask during their hour visit
79,an,in San Francisco a group of people,gather in a public park to avoid any build year old Daryl Hall amoung this group Most of those people around him wear mask but do not he have bone cancer
80,45,woman with no health issue,go to an outdoor restaurant with other friends No one socially distance and no one wear a mask
81,4,child,attend a gymnastics class in a large build with six other children none of whom be wear mask There be no social distance There be one adult coach age and parent between the age of This class last minutes
82,40,woman,go to a movie theater with two friends while wear mask They do not socially distance from others but everyone wear mask while in the theater
83,34,software engineer stay at home and cook dinner for himself after,have his groceries contactless deliver to him
84,85,with Crohns disease,go to a restaurant and order take out They wait outside and maintain feet of distance while wear a mask while their food be be prepare There be no line at the restaurant and they sanitize their hand after pay for their meal which they take home to eat
85,75,man,be in close proximity to his spouse who test positive for COVID He have several health problems
86,30,man,go to look at an indoor wed venue with his fiance They come into contact with one other person and do not socially distance but everyone wear mask
87,63,male who,be not wear a mask fly on an airplane social distance be practice because all seat be feet apart
88,year,Simons,be the attend physician on a COVID floor at a hospital He wear a fit N mask face shield and gloves but must get within feet of patients to treat them everyday
89,19,boy visit a dog park He interact with individuals,dog without a mask on None of the dog owners seem to have COVID
90,40,doctor work on a COVID floor administer treatments to,sick patients while wear an N mask face shield and full body scrub
91,95,female who,be not wear a mask go to the gym Social distance be practice
92,2,be take to see their primary care provider at a doctor office with their parent The child,do not have a mask on but everyone they interact with do
93,45,work in the mail room at the post office with other inidividuals all of them,wear mask but be within feet of each other for hours a day
94,43,woman,go to Mommy Me class with her baby There be other people there and no one wear mask or socially distance
95,35,man,attend a speak event in a large conference room the speaker remove their mask to deliver their presentation and quickly put in back on after finish Each person have a chair about feet away from each other arrange in a rectangular pattern in the room Traditional air condition and ventilation be work
96,64,saxaphonist play with his band at the Black Cat club in downtown Los Angeles He,have no know health problems but play in the small stuffy room for people without a mask on for hours
97,39,man,take his son to the pier to watch the seaguls They wear their mask and always stay feet apart from all other people The day be very sunny and windy
98,50,female who,be not wear a mask go to an indoor restaurant Social distance be practice between table
99,67,man,go to the heart doctor He interact closely with his doctor and both of them wear mask
100,20,woman without health issue share a hotel room with another woman They,do not wear mask or socially distance The other woman have COVID symptoms
101,94,man,be visit by his grandchildren for his birthday and they socially distance and all wear mask The grandchildren get test for COVID before visit
102,healthy,old woman and her daughter who,live in a different home go kayak
103,19,ice skater,go to the rink to practice for her upcoming competition with her partner they practice together for hour She always socially distance and wear a mask but her partner do not if fact he frequently go out to hang out with lot of friends
104,12,,go to school for the day no social distance and spotty mask use
105,41,day,care teacher take care of four year olds for the day All of the children wear mask during their stay and when they interact with her
106,38,billionaire,go to a pool party with some of his friends no one wear a mask and everyone eat together
107,72,with pancreatic cancer,go to see a spiritual leader name Guru Sky He hug the guru who have meet with hundreds of other people that day Neither of them wear a mask for their interaction
108,2,child attend preschool days a week for hours with other children none of whom,wear mask One of the children test positive for COVID two days after last be in the classroom
109,20,go to a parade in downtown Houston where people be in attendance of the crowd wear mask but they be all very tightly bunch together on the sidewalks as the festivities,pass
110,friends,s,go to a bingo parlor both wear mask and they be the only ones there They keep far away from all other people
111,48,film director,be on set with the entire cast and crew of people No one wear a mask and the actors regularly touch each other while film
112,36,men who,be wear mask go climb with three other people The other three people be wear mask Social distance be practice
113,20,welder work on a costruction site fix together metal pip He do not,wear a mask while at work but all his coworkers stay feet away from him the entire day
114,9,boy,play with his two friends on the local playgound none of them wear mask and they come into close contact
115,80,woman,take a hour flight from Los Angeles to New York all passengrs wear mask and social distance be not maintain at all
116,23,go for a run in central park She,do not wear a mask but pass within feet of may other runners on the path
117,30,work as a bookseller at a chain bookstore and,wear a mask while at work as do the patrons He have diabetes and live with his asthmatic mother who be obese
118,42,police officer arrive at the scene of a minor accident where no serious bodily harm,be do There be damage to a vehicle so the officer talk to both party outside in open air and collect insurance and registration from both party involve feet of distance be observe by all party during the entire encounter
119,23,software engineer,go into his office to do a code review with his boss They both wear face mask but sit in a tiny poorly ventilate office for minutes
120,year,Honnold work at a groery store stock shelve He often,get in close proximity to customers and only wear a thin neck gator as a mask
121,18,man with no health problems,spend time with his girlfriend She have no COVID symptoms The next day her father test positive for COVID
122,60,have confirm through a test that they have COVID and,be experience severe symptoms They be overall in good health with no serious pre exist condition They routinely take public transportation to get groceries and run errands essential to survive They work for a technology company and have the option to work from home
123,23,woman,go to Pilates There be people in a small room and no one socially distance or wear mask
124,78,man in good health,be play golf with of his friends All of the party will be wear mask but will be share a golf cart and not maintain ft of distance
125,software,into work and,have a meet with colleagues in a small conference room without a mask She be healthy and have no prior exposures to COVID
126,62,woman with high blood pressure,attend a cycle class with other people for hour No one be wear a mask Everyone have temperature check and remain feet apart
127,75,man with COPD,go for an outdoor walk He do not wear a mask but stay feet apart from other walkers
128,59,man,live with his wife and two daughters who do virtual school He occasionally see friends for socially distance mask work meet occasionally travel for work
129,team,work on construct a public playground All of them,follow COVID guidelines outside of work and always wear mask when within feet of each other
130,40,woman,sell war from the back of her car at a farmers market She wear a mask as do most of the patrons but not all She be unable to socially distance while show them some of the items
131,middle,who,live in Colorado Springs go snowboard by herself over the weekend
132,15,boy,go to high school with other people None of his peer be wear a mask and social distance be not practice in classrooms or at mealtimes
133,47,man,be a plumber and go into a familys home who be not wear mask He do and have a congenital heart condition He maintain social distance while in the home
134,67,woman with cancer sit outside with neighbor for hours They,sit feet apart
135,35,with no previous health issue work at a fast food restaurant She wear a mask but,be unable to socially distance
136,84,male who,be not wear a mask watch a baseball game alone at home
137,30,woman with a cold work from home Her husband work in restaurants for a live and,have recently interact with someone who have be confirm to have COVID
138,34,go to a local club in San Francisco Masks be require by all people who,enter but the room be pack and social distance be not follow
139,friends,friend group all meet up to,tube down the river No social distance be practice and they all share drink together
140,9,boy,live with his sister who have contact with a COVID positive person the previous day No one be social distance or wear mask
141,76,woman with several health issue order groceries The groceries,be leave at the door and she have no interaction with anyone
142,24,have friends over for dinner and drink on her patio They,spend most of their time outside on the patio wihtout mask feet apart
143,50,woman with COPD,go to IKEA and wear a mask as do other patrons They do not maintain social distance and she touch items throughout the store
144,42,woman with diabetes,go to her daughters outdoor cheer competition No one wear mask but everyone maintain social distance
145,14,high school student,go skateboard with three friends outside They do not socially distance or wear mask
146,52,with diabetes,be walk down a street in New York city where feet of distance from strangers be not observe Also many of those who be walk on the sidewalk with the year old be not wear mask it be winter time so many of those walk by cough or clear their throat near the year old
147,group,age dads all,go to dinner at the local diner They all remove their mask for the meal and be inside a close space with other patrons
148,wealthy,old banker Cornelius Van Halen the th,go to a local coffee shop in Atlanta He sit outside the café and drink his coffee while people walk by Most people stay feet away from him but nobody wear a mask
149,23,producer,go to the studio to master some track for his friend He stay in the booth which be seal off from all other people during his entire visit to the studio
150,52,man,go to a person Poker night No one be wear a mask and no one be social distance The even last for four hours He have significant health problems people later test positive for COVID
151,42,woman,have recently move into a new apartment which do not yet have WIFI set up so she intend on work at a local coffee shop for days until the company be able to come set up her internet The coffee shop have indoor outdoor seat however due to the heat she plan to remain inside The restaurant maintain social distance protocols and she will only remove her mask periodically to eatdrink food as need
152,girl,rare genetic disorder stay at home with her parent and sister and they only,go grocery shop each week and all double mask She do virtual school as do her sister and her parent work from home
153,38,man,go to an outdoor gather with friends He wear a mask but no one else do and there be social distance
154,Day,year old elementary school teacher share a loft with other people Everyone social distance and,keep mask on while in the apartment
155,31,plumber,replace the sink in a studio apartment while the two occupants be still in it The repair take him minutes and everyone wear a mask the entire time
156,24,man would,like to host a barbeque with neighbor at his house He plan to have several neighbor families over adults children and everyone will remain outside with the exception of use the restroom No one will be wear mask after they arrive however there be spacious yard for social distance The man have asthma and several of the neighbor be in their s
157,35,woman with severe asthma,do indoor din at a local Italian restaurant with her best friend They wear mask before and after the meal but not during but be socially distance from other patrons
158,48,postal worker wear a mask while work but sometimes,come into contact with people while deliver mail They be frequently unmask
159,44,go to a university café to order some breakfast None of the student patrons,wear mask but the barrista do The year old wear a fit N mask
160,67,college Professor,teach an in person course Everyone wear a mask and socially distance
161,25,man,attend a work meet with other employees They eat lunch together in a room but everyone be feet apart
162,60,woman work from home and,see no one except her daughter who do not live at home but follow strict COVID guidelines she do curbside pick up for groceries
163,19,car mechanic speak to a cutomer outside in the sunshine where neither of them,wear a mask but stand feet apart from each other
164,45,janitor sweep the hallways of an apartment complex he work at None of the residents,wear mask when pass him in the hallway but he wear an N mask
165,13,girl quarantine at home with her parent The only person who,leave the house be her father to get groceries one time per week He wear a mask and stay feet away from others
166,22,college student would,like to go to a beach party with their friends The party will be in the open air with direct sunlight Masks be not require Drinks and food will be provide and serve in a share family meal context
167,the,a year old male smoker,go to a barbeque party with more than ten people Everyone wear a mask except while eat food and drink Social distance be not practice
168,69,man with diabetes,go to an indoor party where people be wear mask but not socially distance
169,27,woman,take her dog to the dog park on a cold winter day where there be other dog owners most of whom wear a mask but who stay feet away from each other
170,41,ski instructor,operate a lift at a major ski resort He be within feet of hundreds of people each day most of whom wear mask but not all of them He have pancreatic cancer
171,74,geologist work brush off fossils outside at a dig site with his grad students who always,wear a mask around him and give him feet of space
172,15,girl,go to a pool party with three friends who she regularly see because they play volleyball together None of them wear mask or socially distance and eat food during the event They all regularly be test for COVID
173,23,plan on attend church Some of her fellow worshipers,wear mask though many do not The church be large and airy but pews be not feet apart The congregation begin each service by sing hymn
174,20,man sit outside a campfire with other friends They,do not wear mask or socially distance
175,astronomer,Argentina to,look through the newest telescope NASA have build His friend celebrate his th birthday while he be there so they share cake and champagne in a small room together the friend usually socially distance and wear a mask
176,40,and her two daughters,be visit her mother for the weekend She experience flu like symptoms weeks ago but it have be days since she felt ill She will wear a mask and stay ft from her mother but her daughters will not be wear mask and will be in close contact with their grandmother
177,25,woman work in an apartment complex as a lease agent and regularly,give tour of units to prospective residents She wear a mask and so do the prospective tenant
178,37,florist deliver flower arrangements to customers who order online She,have high blood pressure and wear a mask and work alone and do contactless dropoff
179,17,female who,be wear a mask go skateboard with three friends who have recently have contact with people with COVID and do not wear mask
180,73,obese man,go to the mall Everyone he interact with be wear a mask but no one be social distance
181,middle,who,have a cold and who have a mask go climb with three other people The others be wear a mask Social distance be practice
182,28,care for her mother who,have contract COVID She bring her mom food time a day Both wear face mask when in the same room
183,65,doctor with COPD work on patients SHe wear a mask but no one else,do and there be no social distance
184,53,woman,live in a rural area go to the hairdresser every week There be usually other ladies there none of whom wear mask She be overweight and smoke cigarettes regularly
185,19,girl,go to the grocery store without a mask she cant maintain social distance and its peak busy hours
186,8,baby,be care for by a woman with COVID The woman rountinely sneeze and do not wear a mask when interact with the baby
187,88,male who,be wear a mask go to get a hair cut at the local barbershop His barber wear a mask during the minute haircut
188,Berch,skate with her boyfriend for an hour Both of them,wear mask and try to stay feet from other skaters but nobody else wear mask
189,50,man with gamble addictions,go to Trader Joes with friends everyone wear mask but it be peak busy hours
190,19,man,go to the skate park with his friends where none of them wear mask and they rountinely get within feet of many strangers
191,26,,go to the grocery store She wear a mask and socially distance
192,34,woman,be a nanny She watch the same two children each day who quarantine at home No one wear a mask She come into contact with the two parent who do not wear a mask and work outside the home
193,16,boy,go to highschool and wear a mask He also play football after school during which he also wear a mask at all time
194,16,boy,go car shop outside with his father They interact with other people and everyone wear mask but do not socially distance
195,27,investment banker work from home but,see friends socially on the weekend They do not wear mask but have a pod together
196,24,sit on her balcony and smoke cigarettes with of her closest friends No one observe social distance and no mask,be wear
197,33,police officer,arrest a suspect The police officer be healthy and wear a mask but the suspect be not it be unknown whether they have COVID or not
198,14,go on his best friends yacht with his family and,do not wear a mask They spend the day eat snack and swim with no social distance
199,57,dentist wear a mask while work but his patients,do not in order for him to do check up All employees of his clinic be mask and they limit the number of people in the wait room
200,42,man,go to the arcade with his kinds All of the adults at the arcade wear mask but none of the children do who regularly break social distance
201,45,man with liver cirrhosis,go to the grocery store Everyone be wear a mask and maintain social distance
202,28,be a server at a popular restaurant in a big city where patrons regularly,pack in at the front desk to get a table All patrons once seat be socially distance He wear a mask while serve patrons
203,8,girl,go to horseback rid lessons outside but go inside to the stable to take care of the horse after her lessons She do not wear a mask the entire time and neither do her instructor
204,woman,in a tv show that,be shoot outside on a veranda there be actors involve who all stay feet apart from each other and do not wear mask The woman be years old
205,50,woman,be a lead ER doctor and have be tend to COVID patients for the past year She live with an immunocompromised daughter who be years old
206,90,Grandpa with esophageal cancer,be visit by her grand daughter at her home The grand daughter practice safe COVID rule at all time and sit feet from her
207,25,woman,go for an outdoor walk with one friend They socially distance but do not wear mask
208,58,man with a blood disorder,help his brother move Neither one socially distance or wear mask
209,40,nanny for a wealthy family,do not wear a mask while work with the family and neither do the family she work with She be test along with the family every two weeks
210,14,boy,go to a game stop to buy a PS He and all other patrons wear mask during their shop time and none of them get within feet of each other
211,38,invite a friend from college over for dinner Neither be wear mask days after the dinner he learn that his friends wife,have test positive for COVID despite be asymptomatic
212,16,be learn to drive He be in the car with his father and younger sister none of whom be wear mask They,drive to a drive thru for ice cream where the clerk be wear a mask
213,80,,man stay at home with close family members Everyone work from home and no one see people outside the household
214,66,woman with heart failure,go to an outdoor restaurant with two friends Everyone maintain social distance but no one wear mask
215,87,male who,be not wear a mask go for a walk in his neighborhood away from all other people
216,48,chef,wear a mask while work at his restaurant with his ten other staff members Patrons do not wear mask while eat but table be socially distance and outside
217,30,yoga teacher,lead a class at her local yoga studio All of her students wear mask but they be all in a relavitely small room without good ventilation
218,22,woman fly on an airplane She wear a mask the entire time and,stay feet apart from others who be also wear mask
219,9,girl swim in the river with her parent who,work from home They dont get within feet of any other people while swim
220,45,carpenter,wear a mask replace a windown in the apartment of two year olds who be also wear mask
221,24,live in an apartment complex where other residents regularly,dont wear mask in hall ways however they wear mask in share space and hallways
222,24,go rock climbiing at an indoor gym with of his friends They all,wear mask while inside the gym
223,nuclear,engineer clock into work everyday at,be for his hour shift He isolate from all other employees whe possible and wear a mask and social distance when he need help complete a task
224,8,child,take a hour flight from Miami to Cuba she wear her mask for the entire flight which be only half full
225,middle,go tube with six other people The group,do not wear mask and drink beverages while on the river Social distance be practice
226,90,former business magnate order a hot dog from a street vender in New York city at rush hour He eat it on the corner where those without mask routinely,get within feet of him
227,young,have sickle cell disease,go to get fast food with his father They both wear mask when aceepting their food from the window everyone at the restaurant wear a mask
228,39,pregnant woman host an outdoor baby shower for attendees No one socially distance or,wear a mask
229,50,writer host a book club on the lawn of a local park where people,attend All of them sit feet apart from one another but do pass around a tray of food that everyone take food from
230,20,man,go to an outside picnic table with friends that he doesnt live with No one wear a mask and everyone be eat His group stay feet away from others
231,65,,furniture maker recieves a delivery of supply at his workshop He wear a mask when interact with the delivery men when sign off on the paperwork
232,pediatrician,sea world with her daughter They,keep their mask on the entire day and maintain a large distance between them and all other people
233,fitness,fan outside of a gym on a busy los angeles street She doesnt,wear a mask and only half of the fan interact with her do when she pose for picture with them
234,middle,sit in a small park in San Francisco A friend of his come to,say hello and they talk while remain feet of distance from one another
235,20,go to party at a club in LA There be only other people there but nobody,wear a mask and the venue be poorly ventilate
236,2,new bear,be quarantine with its mother who actively have COVID but wear a mask whenever around the baby
237,97,go his grand daughters,birthday party at Chuck E Cheese Masks be not wear and the space be poorly ventilate
238,congressman,vote on a new bill in the senate chamber All of his colleagues,wear mask and stay feet away from him
239,45,teacher,teach virtual school for her preschool students She live at home with her immunocompromised wife and their daughter who have asthma They get all their shop deliver and do not see people
240,40,SWAT team member,lead a raid on a house they do not wear a mask and none of the other officer do either They all live separately and do not social distance when out of work
241,23,woman with no previous health issue,attend an office party with people in a large open space No one be wear a mask and everyone be eat and drink
242,46,woman,fly on a plane with her young child She do not wear a mask but she be the only one on the flight
243,60,female who,be wear a mask go to a farmers market Social distance be not practice but she wear a mask the entire time
244,88,man with COPD,go to an indoor church service He wear a mask but others do not and nobody socially distance There be people in the room
245,72,man,go into a bank and be not wear a mask Other people inside be wear a mask and when ask to put one on he refuse
246,group,children,play tag in a field together year old Timmy go to join them and play tag with a mask on for minutes None of the other children wear mask or social distance
247,67,woman with health problems,go to a hair salon to get her hair style Everyone in the build be subject to temperature check People do not socially distance but they wear mask
248,32,man work at a dry cleaners and regularly interact with mask customers All other employees,wear mask while work but live in multi generational home with other individuals who be work in service job and be not test for COVID
249,34,ta preparer with pancreatic cancer see clients at his office Everyone,be require to wear a mask during the visit and happily sit feet from him during most of the visit
250,9,play outside of her parent house in the dirt Her father work at a law firm where none of the employees,wear mask or social distance The father come home and hug his daughter
251,56,woman work from home but regularly invite friends over to socially,distance enjoy meals together all of them be smokers
252,40,man with diabetes,go swim at his local indoor pool There be four other people present and they wear mask before get into the pool and get temperature check at the door
253,44,man work a hour shift at the home depot where he help customers with,find the tool they need He always wear a mask but very few people he interact with do
254,Middle,,go to the bookstore with a fit mask and sanitize her hand afterwards The trip only take her minutes
255,22,girl visit her grandmother in a nurse home She wear a mask while visit but her grandmother,do not They stay in her grandmothers room for the duration of the visit but when enter and exit encounter unmask residents
256,65,with severe heart disease,decide to go for a bender visit local pubs and consume beers over the course of the even without a mask and hug many strangers
257,65,woman,go to a nursery to purchase new flower for her garden She speak with an employee in the outdoor nursery and they both wear mask and speak feet apart
258,89,man fly on an airplane He,have chronic asthma Everyone wear a mask and socially distance from everyone else
259,Towney,judge in North Dakota She,take case on her laptop and do not go into the office because of COVID She have all of her groceries contactless deliver to her because she have breast cancer
260,82,woman,see her private trainer for a minute work out time a week The trainer keep a distance of feet and wear a mask but they be in a poorly ventilate space
261,six,go to kindergarten where no other children,wear mask but their teacher do
262,90,stay at home and,drink tea by herself She have asthma and stage cancer
263,40,mother,attend the super bowl with her three sons none of them wear mask and be seat feet apart from all other attendees
264,40,have cancer and who doesnt care to,have a mask on go to the gym Social distance be practice but no one else in the gym wear a mask
265,lifeguard,drown swimmer from the ocean Once back on shore the lifeguard perform CPR on the unconscious swimmer It,be not know whether or not the swimmer as COVID
266,64,,take a road trip from LA to SF with his year old daughter Neither wear mask for the trip and she be recently expose to COVID
267,14,girl,go to math class at school Everyone wear a mask and socially distance
268,60,man with high blood pressure,go to happy hour with his friend who own a coffee shop and have be work during COVID They do not wear mask while sit together
269,83,man,go on an airplane for hours Everyone wear a mask but no one be social distance He have no know health problems
270,50,homeless man ask for food from cars as they,wait at a stop light by the highway He never wear a mask and none of the people he ask for food from do either he be interact with by at least people a day
271,Anne,the Boston marathon she and all other runers,make sure to wear mask during the event but do not maintain safe social distance measurements during the race
272,21,,go to a crowd bar on a Friday night He be vaccinate against COVID
273,20,nurse student administer vaccines to people She,wear a fit N mask face shield and sanitize her hand after see each patient Each patient wear a face mask and be within feet of the nurse for less than second
274,39,doctor,have no health problems He work closely with sick patients all day but it be unknown if they have COVID Everyone wear a mask
275,young,horseback rid with his family The ranch hand who,guide them stay feet ahead of them at all time and wear a mask
276,group,in their s plan on,attend a protest march outside Everyone at the protest be encourage to wear mask and maintain proper social distance but inevitably there be a few not properly wear mask and walk closer than feet apart The crowd chant and sing
277,older,COPD,stay home alone for an even of cocktails and watch classic movies alone
278,58,woman with diabetes,go to a dinner party with her husband and they see two other couple at the party They eat outside and socially distance but do not wear mask
279,66,unhealthy woman,go to an outdoor farmers market She wear a mask but many people do not and no one be socially distance
280,art,have dinner with his friend at his apartment His friend,do not socially distance or follow COVID guidelines but they sit feet apart in his live room for the duration of the meal
281,convention,inside the ball room of a hotel ventilation and AC,be operational and the event have people attend All attendees be require to wear a mask
282,98,own a private mansion in the appalachian mountains They,be wait on by a butler who never leave the premise and only interact with the owner of the house
283,53,woman,go to a busy nightclub for hours No one be wear a mask People be eat and drink and not social distance She have no know health problems
284,22,be work as waiter at a restaurant All table inside at feet apart and all table outside be in the sunlight The waiter keep their mask on the entire hour shift and frequently,wash their hand None of the guests appear to be sick
285,34,man stay at home with other person in winter Social distance,be not practice but they share a house hold
286,healthy,old boy play soccer outside with one person Neither wear mask or socially,distance
287,40,cancer patient,go to a hospital for pain Everyone be wear a face shield even though several get within feet of her
288,32,man,go on the subway with his coworker after work all day at a large corporate office where everyone wear a mask Everyone on his subway car wear a mask
289,84,female who,be wear a mask go dance in a crowd New York speak easy Social distance wasnt practice
290,set,year old twin,go to a sleepaway summer camp They get test before go and have temperature check every day at camp and have to wear mask for all activities with people not in their cabin
291,15,boy walk to school with his best friend Both of them,wear mask during their minute walk
292,35,man work from home but day,drink with of his closest frat brothers every weekend and go to the gym everyday maskless
